case_id,dice_ET_baseline,dice_ET_stage3b,dice_delta,guard_branch_baseline,guard_reason_baseline,guard_branch_stage3b,guard_reason_stage3b,was_clean_evolved,clean_case_regressed,guard_rejects_returned_iter
BraTS-GLI-00020-100,0.1535,0.1535,0.0,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-00469-100,0.5305,0.7848,0.2543000000000001,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-00528-100,0.3611,0.3611,0.0,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02066-100,0.7633,0.7643,0.0010000000000000009,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02071-100,0.547,0.8089,0.2618999999999999,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02086-100,0.4643,0.5014,0.037099999999999966,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02102-100,0.4821,0.4821,0.0,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02108-100,0.8794,0.6736,-0.20579999999999998,evolved,accepted,evolved,accepted,True,True,False
BraTS-GLI-02116-100,0.7473,0.5671,-0.18019999999999992,evolved,accepted_evidence_seed_divergence,evolved,accepted,True,True,False
BraTS-GLI-02118-100,0.8308,0.8364,0.005600000000000049,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02143-100,0.3703,0.4077,0.03739999999999999,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02151-100,0.7433,0.66,-0.08329999999999993,evolved,accepted,evolved,accepted,True,True,False
BraTS-GLI-02156-100,0.2994,0.2994,0.0,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02157-100,0.6974,0.7726,0.07519999999999993,evolved,accepted,evolved,accepted,True,False,False
BraTS-GLI-02158-100,0.8077,0.8502,0.04249999999999998,evolved,accepted,evolved,accepted,True,False,False
