case_id,dice_ET_baseline,dice_ET_stage3a,dice_delta,guard_branch_baseline,guard_reason_baseline,guard_branch_stage3a,guard_reason_stage3a,was_clean_evolved,clean_case_regressed
BraTS-GLI-00020-100,0.1535,0.1535,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-00469-100,0.5305,0.5305,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-00506-100,0.3559,0.3559,0.0,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,False
BraTS-GLI-00528-100,0.3611,0.3611,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-00533-100,0.0,0.0,0.0,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,False
BraTS-GLI-02066-100,0.7633,0.7633,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02071-100,0.547,0.547,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02078-100,0.0,0.0,0.0,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,False
BraTS-GLI-02086-100,0.4643,0.4643,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02102-100,0.4821,0.4821,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02108-100,0.8794,0.8794,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02116-100,0.4481,0.7473,0.29919999999999997,collapse-detected,low_seed_overlap,evolved,accepted_evidence_seed_divergence,False,False
BraTS-GLI-02118-100,0.8308,0.8308,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02139-100,0.7808,0.7808,0.0,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,False
BraTS-GLI-02143-100,0.3703,0.3703,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02151-100,0.7433,0.7433,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02156-100,0.2994,0.2994,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02157-100,0.6974,0.6974,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02158-100,0.8077,0.8077,0.0,evolved,accepted,evolved,accepted,True,False
BraTS-GLI-02169-100,0.6196,0.6196,0.0,collapse-detected,collapsed_small,collapse-detected,collapsed_small,False,False
