case_id,fold,method,vol_bin,k_top_persistent_components,gt_vox,pred_vox,global_dice,global_jaccard,overseg_ratio,correct_absent_pred_lt_10_vox,flood_gt_10000_vox,gt_components,pred_components,matched_components,lesion_tp,lesion_fn,lesion_fp,lesion_dice_sum,lesionwise_dice_mean,lesionwise_dice_median,lesion_detection_rate_dice_gt_0,lesion_detection_rate_dice_ge_0_1
BraTS-GLI-02194-101,2,otsu_T1c,medium,0,3716,0,0.0,0.0,0.0,,False,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,otsu_T1c,medium,1,3716,655031,0.010872155774523452,0.005465790349316051,176.2731431646932,,True,2,1,1,1,1,0,0.010618479922413826,0.005309239961206913,0.005309239961206913,0.5,0.0
BraTS-GLI-02194-101,2,otsu_T1c,medium,2,3716,655031,0.010872155774523452,0.005465790349316051,176.2731431646932,,True,2,1,1,1,1,0,0.010618479922413826,0.005309239961206913,0.005309239961206913,0.5,0.0
BraTS-GLI-02194-101,2,otsu_T1c,medium,3,3716,655031,0.010872155774523452,0.005465790349316051,176.2731431646932,,True,2,1,1,1,1,0,0.010618479922413826,0.005309239961206913,0.005309239961206913,0.5,0.0
BraTS-GLI-02194-101,2,otsu_T1c,medium,4,3716,655031,0.010872155774523452,0.005465790349316051,176.2731431646932,,True,2,1,1,1,1,0,0.010618479922413826,0.005309239961206913,0.005309239961206913,0.5,0.0
BraTS-GLI-02194-101,2,otsu_T1c,medium,5,3716,655031,0.010872155774523452,0.005465790349316051,176.2731431646932,,True,2,1,1,1,1,0,0.010618479922413826,0.005309239961206913,0.005309239961206913,0.5,0.0
BraTS-GLI-02194-101,2,gmm_T1c,medium,0,3716,0,0.0,0.0,0.0,,False,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,gmm_T1c,medium,1,3716,4417,0.0,0.0,1.188643702906351,,False,2,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,gmm_T1c,medium,2,3716,4417,0.0,0.0,1.188643702906351,,False,2,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,gmm_T1c,medium,3,3716,4417,0.0,0.0,1.188643702906351,,False,2,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,gmm_T1c,medium,4,3716,4417,0.0,0.0,1.188643702906351,,False,2,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,gmm_T1c,medium,5,3716,4417,0.0,0.0,1.188643702906351,,False,2,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,sustraccion,medium,0,3716,0,0.0,0.0,0.0,,False,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,sustraccion,medium,1,3716,72274,0.07953678115541518,0.041415414976428026,19.44940796555436,,True,2,1,1,1,1,0,0.07962480187416077,0.03981240093708038,0.03981240093708038,0.5,0.0
BraTS-GLI-02194-101,2,sustraccion,medium,2,3716,73504,0.07826987826987827,0.04072886061618911,19.780409041980626,,True,2,2,1,1,1,1,0.07962480187416077,0.02654160000383854,0.03981240093708038,0.5,0.0
BraTS-GLI-02194-101,2,sustraccion,medium,3,3716,74035,0.07773533459376729,0.04043945456248578,19.923304628632938,,True,2,3,1,1,1,2,0.07962480187416077,0.01990620046854019,0.03981240093708038,0.5,0.0
BraTS-GLI-02194-101,2,sustraccion,medium,4,3716,74078,0.07769236702059285,0.040416198577007435,19.93487621097955,,True,2,4,1,1,1,3,0.07962480187416077,0.015924960374832153,0.03981240093708038,0.5,0.0
BraTS-GLI-02194-101,2,sustraccion,medium,5,3716,74112,0.07765842627332066,0.04039782905114563,19.944025834230356,,True,2,5,1,1,1,4,0.07962480187416077,0.01327080000191927,0.03981240093708038,0.5,0.0
BraTS-GLI-02194-101,2,gmm_2d,medium,0,3716,0,0.0,0.0,0.0,,False,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
BraTS-GLI-02194-101,2,gmm_2d,medium,1,3716,61734,0.10588235294117647,0.055900621118012424,16.61302475780409,,True,2,1,1,1,1,0,0.10601841658353806,0.05300920829176903,0.05300920829176903,0.5,0.5
BraTS-GLI-02194-101,2,gmm_2d,medium,2,3716,63627,0.10290601844289682,0.05424402767776073,17.122443487621098,,True,2,2,1,1,1,1,0.10601841658353806,0.03533947095274925,0.05300920829176903,0.5,0.5
BraTS-GLI-02194-101,2,gmm_2d,medium,3,3716,64873,0.10103660936884923,0.05320619126589276,17.457750269106565,,True,2,3,1,1,1,2,0.10601841658353806,0.026504604145884514,0.05300920829176903,0.5,0.5
BraTS-GLI-02194-101,2,gmm_2d,medium,4,3716,65545,0.10005630874518127,0.052662775852635416,17.63858988159311,,True,2,4,1,1,1,3,0.10601841658353806,0.02120368368923664,0.05300920829176903,0.5,0.5
BraTS-GLI-02194-101,2,gmm_2d,medium,5,3716,65622,0.09994519599642332,0.05260121749426928,17.659311087190527,,True,2,5,1,1,1,4,0.10601841658353806,0.017669735476374626,0.05300920829176903,0.5,0.5
BraTS-GLI-02194-101,2,variational_spline,medium,0,3716,0,0.0,0.0,0.0,,False,2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
