same_size,same_spacing,same_origin,same_direction,case_id,comparison
True,True,True,True,BraTS-GLI-03059-100,raw_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-03059-100,clean_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-03059-100,clean_t1c_vs_clean_seg_copy
True,True,True,True,BraTS-GLI-03059-100,pred_vs_raw_seg
True,True,True,True,BraTS-GLI-03059-100,pred_vs_clean_t1c
True,True,True,True,BraTS-GLI-03063-100,raw_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-03063-100,clean_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-03063-100,clean_t1c_vs_clean_seg_copy
True,True,True,True,BraTS-GLI-03063-100,pred_vs_raw_seg
True,True,True,True,BraTS-GLI-03063-100,pred_vs_clean_t1c
True,True,True,True,BraTS-GLI-00046-100,raw_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-00046-100,clean_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-00046-100,clean_t1c_vs_clean_seg_copy
True,True,True,True,BraTS-GLI-00046-100,pred_vs_raw_seg
True,True,True,True,BraTS-GLI-00046-100,pred_vs_clean_t1c
True,True,True,True,BraTS-GLI-02139-103,raw_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-02139-103,clean_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-02139-103,clean_t1c_vs_clean_seg_copy
True,True,True,True,BraTS-GLI-02139-103,pred_vs_raw_seg
True,True,True,True,BraTS-GLI-02139-103,pred_vs_clean_t1c
True,True,True,True,BraTS-GLI-02306-100,raw_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-02306-100,clean_t1c_vs_raw_seg
True,True,True,True,BraTS-GLI-02306-100,clean_t1c_vs_clean_seg_copy
True,True,True,True,BraTS-GLI-02306-100,pred_vs_raw_seg
True,True,True,True,BraTS-GLI-02306-100,pred_vs_clean_t1c
