case_id,observed_hash,frozen_mask_hash,bit_identical
BraTS-GLI-00020-100,6448c005d3615f5c170571fb95abcabb4910694e8bb4745d8acaa58ac57a9abd,6448c005d3615f5c170571fb95abcabb4910694e8bb4745d8acaa58ac57a9abd,True
BraTS-GLI-00469-100,7c6affee316205fcaa32b29ef0004fa91d63e6066a11b9d2b609244bf2861e84,7c6affee316205fcaa32b29ef0004fa91d63e6066a11b9d2b609244bf2861e84,True
BraTS-GLI-00506-100,146b65564238a9516da380fbc1598ec31ff397dc475708b3ed0f117e2a3e0595,146b65564238a9516da380fbc1598ec31ff397dc475708b3ed0f117e2a3e0595,True
BraTS-GLI-00528-100,5f7bb8f8a0902161685c7276322b906d118811eba9a38ad8cb8bb6446d48cc4c,5f7bb8f8a0902161685c7276322b906d118811eba9a38ad8cb8bb6446d48cc4c,True
BraTS-GLI-00533-100,d637e45188685ae4a6d51dce8ecb142320140cd2503db1d8870a9e2853fba6a1,d637e45188685ae4a6d51dce8ecb142320140cd2503db1d8870a9e2853fba6a1,True
BraTS-GLI-02066-100,bdbf258a1e2071f63507a73ace2b4894bd96f8a0629c578a5212d16b6f087ebb,bdbf258a1e2071f63507a73ace2b4894bd96f8a0629c578a5212d16b6f087ebb,True
BraTS-GLI-02071-100,6108fdba983908a850ae0d8aae2ca87dcb3cfbf89bdf7f1ec9620dbfa48fd1f8,6108fdba983908a850ae0d8aae2ca87dcb3cfbf89bdf7f1ec9620dbfa48fd1f8,True
BraTS-GLI-02078-100,b866e28c396cb211abc2fcb6bc96809e34d616bc617035ba638f1e590c17af95,b866e28c396cb211abc2fcb6bc96809e34d616bc617035ba638f1e590c17af95,True
BraTS-GLI-02086-100,dfb348ac7f3e9fcf4e32428aba6842edb6bba3238d08df35f7e54b0dfac13bdf,dfb348ac7f3e9fcf4e32428aba6842edb6bba3238d08df35f7e54b0dfac13bdf,True
BraTS-GLI-02102-100,c0bc3bdddcc09121b6d17cde66a4a21d577d40f52fda351d37cdd5f458e165a3,c0bc3bdddcc09121b6d17cde66a4a21d577d40f52fda351d37cdd5f458e165a3,True
BraTS-GLI-02108-100,726f62864fe9e7f6d211a2f70c1b829c651cb3035e4b7fdb5d6bc84e6e9a7682,726f62864fe9e7f6d211a2f70c1b829c651cb3035e4b7fdb5d6bc84e6e9a7682,True
BraTS-GLI-02116-100,7b30fb1891e2c05f8c72c96f84aba363a7de0e2715a3ffabc7cb63c4754fef51,7b30fb1891e2c05f8c72c96f84aba363a7de0e2715a3ffabc7cb63c4754fef51,True
BraTS-GLI-02118-100,a61ab5119dc91be3b1d25ed3fc49a2c0ce36ab43767d8569c08f768add441638,a61ab5119dc91be3b1d25ed3fc49a2c0ce36ab43767d8569c08f768add441638,True
BraTS-GLI-02139-100,29a6bfca336ea7270fa6ac1f20fd6569d1dc891c6d23615e644672a0ea100505,29a6bfca336ea7270fa6ac1f20fd6569d1dc891c6d23615e644672a0ea100505,True
BraTS-GLI-02143-100,416696534cd34f43a96f89fc17d2564b6943395cfc3e0508bc430f4752297ecc,416696534cd34f43a96f89fc17d2564b6943395cfc3e0508bc430f4752297ecc,True
BraTS-GLI-02151-100,6b56b4f3d94eafa488af46baa59fc6b3b55f4531fa550aacd464434c20c72879,6b56b4f3d94eafa488af46baa59fc6b3b55f4531fa550aacd464434c20c72879,True
BraTS-GLI-02156-100,0257f33435ed1f52825fa91733ac8df109913a69a3050cc1fa90ef0d985c434a,0257f33435ed1f52825fa91733ac8df109913a69a3050cc1fa90ef0d985c434a,True
BraTS-GLI-02157-100,b639f2bd645491fcb8c1b6f759bc1aa1517c86395c056e483f994c21ab6a1edb,b639f2bd645491fcb8c1b6f759bc1aa1517c86395c056e483f994c21ab6a1edb,True
BraTS-GLI-02158-100,09c3596939091100ec140e59b1b6ac84eaf994e173c730819cd0ba1dcaa4bf07,09c3596939091100ec140e59b1b6ac84eaf994e173c730819cd0ba1dcaa4bf07,True
BraTS-GLI-02169-100,753e803e38498814fd17540166608e72a8e9070e336317f7c4d48a2b6aec77a9,753e803e38498814fd17540166608e72a8e9070e336317f7c4d48a2b6aec77a9,True
