case_id,shape,spacing,orientacion,iso_1mm
BraTS-GLI-02070-102,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02072-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02076-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02091-103,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02119-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02131-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02230-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02284-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02289-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02318-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02514-102,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02520-103,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02548-102,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02772-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02805-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02827-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02838-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02859-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02863-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02876-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02877-100,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02916-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02923-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-02992-101,182x218x182,1.00x1.00x1.00,LAS,True
BraTS-GLI-03025-101,182x218x182,1.00x1.00x1.00,LAS,True
