case_id,method,n_scored_components,top_score,second_score,largest_gap_k,largest_gap
BraTS-GLI-00009-101,gmm_2d,10,1.0,1.0,9,0.18897944688796997
BraTS-GLI-00009-101,gmm_T1c,1,1.0,,1,
BraTS-GLI-00009-101,otsu_T1c,1,1.0,,1,
BraTS-GLI-00009-101,sustraccion,10,1.0,1.0,9,0.3249552845954895
BraTS-GLI-00009-101,variational_spline,1,1.0,,1,
BraTS-GLI-00046-100,gmm_2d,8,1.0,0.8336560726165771,3,0.17814546823501587
BraTS-GLI-00046-100,gmm_T1c,1,1.0,,1,
BraTS-GLI-00046-100,otsu_T1c,1,1.0,,1,
BraTS-GLI-00046-100,sustraccion,10,1.0,1.0,1,0.0
BraTS-GLI-00046-100,variational_spline,1,1.0,,1,
BraTS-GLI-00543-101,gmm_2d,10,1.0,1.0,8,0.06548601388931286
BraTS-GLI-00543-101,gmm_T1c,1,0.999283492565155,,1,
BraTS-GLI-00543-101,otsu_T1c,1,0.9829751253128052,,1,
BraTS-GLI-00543-101,sustraccion,10,1.0,1.0,9,0.04167884588241577
BraTS-GLI-00543-101,variational_spline,1,0.999283492565155,,1,
BraTS-GLI-00548-100,gmm_2d,10,1.0,1.0,9,0.07595938444137562
BraTS-GLI-00548-100,gmm_T1c,1,0.6089534759521484,,1,
BraTS-GLI-00548-100,otsu_T1c,1,1.0,,1,
BraTS-GLI-00548-100,sustraccion,9,1.0,1.0,8,0.0069380998611450195
BraTS-GLI-00548-100,variational_spline,1,1.0,,1,
BraTS-GLI-00549-100,gmm_2d,10,1.0,1.0,1,0.0
BraTS-GLI-00549-100,gmm_T1c,1,1.0,,1,
BraTS-GLI-00549-100,otsu_T1c,1,1.0,,1,
BraTS-GLI-00549-100,sustraccion,10,1.0,1.0,9,0.026295959949493408
BraTS-GLI-00549-100,variational_spline,1,1.0,,1,
BraTS-GLI-02061-100,gmm_2d,10,1.0,1.0,9,0.07015442848205555
BraTS-GLI-02061-100,gmm_T1c,1,1.0,,1,
BraTS-GLI-02061-100,otsu_T1c,1,1.0,,1,
BraTS-GLI-02061-100,sustraccion,10,1.0,1.0,9,0.1155591607093811
BraTS-GLI-02061-100,variational_spline,1,1.0,,1,
BraTS-GLI-02086-100,gmm_2d,10,1.0,1.0,9,0.09994441270828247
BraTS-GLI-02086-100,gmm_T1c,1,0.9256817102432252,,1,
BraTS-GLI-02086-100,otsu_T1c,1,0.9256817102432252,,1,
BraTS-GLI-02086-100,sustraccion,10,1.0,1.0,9,0.22564172744750977
BraTS-GLI-02086-100,variational_spline,1,0.7335148453712463,,1,
BraTS-GLI-02093-106,gmm_2d,10,1.0,1.0,1,0.0
BraTS-GLI-02093-106,gmm_T1c,1,0.5048827528953552,,1,
BraTS-GLI-02093-106,otsu_T1c,1,1.0,,1,
BraTS-GLI-02093-106,sustraccion,8,1.0,1.0,1,0.0
BraTS-GLI-02093-106,variational_spline,1,1.0,,1,
BraTS-GLI-02101-101,gmm_2d,10,1.0,1.0,9,0.18504077196121216
BraTS-GLI-02101-101,gmm_T1c,1,0.6436249017715454,,1,
BraTS-GLI-02101-101,otsu_T1c,1,1.0,,1,
