case_id,metodo,vol_bin,focality,fold,et_present_manifest,et_mm3_manifest,gt_vox,pred_vox,global_dice,global_jaccard,overseg_ratio,correct_absent_pred_lt_10_vox,flood_gt_10000_vox,gt_components,pred_components,matched_components,lesionwise_dice_mean,lesionwise_dice_median,lesion_detection_rate_dice_gt_0,lesion_detection_rate_dice_ge_0_1,hd95_mm
BraTS-GLI-00009-101,otsu_T1c,large,multifocal,4.0,1,11334.0,11334,14599,0.5336058304091312,0.36388976543599455,1.288071289924122,,True,7,1,1.0,0.07628754526376724,0.0,0.14285714285714285,0.14285714285714285,39.45883931389772
BraTS-GLI-00009-101,gmm_T1c,large,multifocal,4.0,1,11334.0,11334,21499,0.5517619468217951,0.3809884332281809,1.8968590082936299,,True,7,1,1.0,0.07885407656431198,0.0,0.14285714285714285,0.14285714285714285,41.352146256270665
BraTS-GLI-00009-101,sustraccion,large,multifocal,4.0,1,11334.0,11334,18353,0.17266817125341058,0.09449196283733963,1.6192871007587788,,True,7,102,2.0,0.04755458980798721,0.0,0.2857142857142857,0.14285714285714285,119.09659944767525
BraTS-GLI-00009-101,gmm_2d,large,multifocal,4.0,1,11334.0,11334,35515,0.1965463510427117,0.10898331163451296,3.1334921475207342,,True,7,55,3.0,0.07731533795595169,0.0,0.42857142857142855,0.14285714285714285,118.89491158161479
BraTS-GLI-00009-101,variational_spline,large,multifocal,4.0,1,11334.0,11334,21555,0.5525251603879716,0.3817165903457547,1.901799894123875,,True,7,1,1.0,0.07896316051483154,0.0,0.14285714285714285,0.14285714285714285,41.44876355212541
BraTS-GLI-00046-100,otsu_T1c,medium,multifocal,1.0,1,6187.0,6187,10577,0.0,0.0,1.7095522870534994,,True,2,1,0.0,0.0,0.0,0.0,0.0,84.65843007137602
BraTS-GLI-00046-100,gmm_T1c,medium,multifocal,1.0,1,6187.0,6187,11199,0.0,0.0,1.8100856634879585,,True,2,1,0.0,0.0,0.0,0.0,0.0,84.83041887582623
BraTS-GLI-00046-100,sustraccion,medium,multifocal,1.0,1,6187.0,6187,61781,0.06994467984934087,0.03623972801146499,9.985614999191855,,True,2,341,2.0,0.5328309535980225,0.5328309535980225,1.0,1.0,85.5219270129012
BraTS-GLI-00046-100,gmm_2d,medium,multifocal,1.0,1,6187.0,6187,458498,0.014005186309005026,0.007051975268241622,74.10667528689187,,True,2,35,1.0,0.006955275312066078,0.006955275312066078,0.5,0.0,87.68124086713189
BraTS-GLI-00046-100,variational_spline,medium,multifocal,1.0,1,6187.0,6187,11199,0.0,0.0,1.8100856634879585,,True,2,1,0.0,0.0,0.0,0.0,0.0,84.83041887582623
BraTS-GLI-00543-101,otsu_T1c,absent,unifocal,2.0,0,0.0,0,13935,,,,False,True,0,1,,,,,,
BraTS-GLI-00543-101,gmm_T1c,absent,unifocal,2.0,0,0.0,0,16769,,,,False,True,0,1,,,,,,
BraTS-GLI-00543-101,sustraccion,absent,unifocal,2.0,0,0.0,0,35620,,,,False,True,0,155,,,,,,
BraTS-GLI-00543-101,gmm_2d,absent,unifocal,2.0,0,0.0,0,43524,,,,False,True,0,212,,,,,,
BraTS-GLI-00543-101,variational_spline,absent,unifocal,2.0,0,0.0,0,16775,,,,False,True,0,1,,,,,,
BraTS-GLI-00548-100,otsu_T1c,absent,unifocal,1.0,0,0.0,0,13841,,,,False,True,0,1,,,,,,
BraTS-GLI-00548-100,gmm_T1c,absent,unifocal,1.0,0,0.0,0,1109623,,,,False,True,0,1,,,,,,
BraTS-GLI-00548-100,sustraccion,absent,unifocal,1.0,0,0.0,0,102144,,,,False,True,0,333,,,,,,
BraTS-GLI-00548-100,gmm_2d,absent,unifocal,1.0,0,0.0,0,90129,,,,False,True,0,114,,,,,,
BraTS-GLI-00548-100,variational_spline,absent,unifocal,1.0,0,0.0,0,209037,,,,False,True,0,1,,,,,,
BraTS-GLI-00549-100,otsu_T1c,absent,unifocal,1.0,0,0.0,0,13510,,,,False,True,0,1,,,,,,
BraTS-GLI-00549-100,gmm_T1c,absent,unifocal,1.0,0,0.0,0,20792,,,,False,True,0,1,,,,,,
BraTS-GLI-00549-100,sustraccion,absent,unifocal,1.0,0,0.0,0,95234,,,,False,True,0,258,,,,,,
BraTS-GLI-00549-100,gmm_2d,absent,unifocal,1.0,0,0.0,0,80673,,,,False,True,0,137,,,,,,
BraTS-GLI-00549-100,variational_spline,absent,unifocal,1.0,0,0.0,0,20792,,,,False,True,0,1,,,,,,
BraTS-GLI-02061-100,otsu_T1c,small,unifocal,1.0,1,427.0,427,4347,0.0,0.0,10.180327868852459,,False,1,1,0.0,0.0,0.0,0.0,0.0,87.723711947817
