case_id,run_source,dice_ET,vol_GT,vol_pred,guard_branch,guard_reason
BraTS-GLI-00009-101,initial_pre_wrapper_crash,0.5525,11334,21555,collapse-detected,collapsed_small
BraTS-GLI-00046-100,initial_pre_wrapper_crash,0.0,6187,11199,collapse-detected,empty_prediction
BraTS-GLI-00543-101,initial_pre_wrapper_crash,0.0,0,16775,collapse-detected,empty_prediction
BraTS-GLI-00548-100,initial_pre_wrapper_crash,0.0,0,209037,evolved,accepted
BraTS-GLI-00549-100,initial_pre_wrapper_crash,0.0,0,20792,collapse-detected,empty_prediction
BraTS-GLI-02061-100,initial_pre_wrapper_crash,0.0,427,4541,collapse-detected,empty_prediction
BraTS-GLI-02086-100,initial_pre_wrapper_crash,0.4643,26344,8555,evolved,accepted
BraTS-GLI-02093-106,initial_pre_wrapper_crash,0.0094,1054,224020,evolved,accepted
BraTS-GLI-02101-101,initial_pre_wrapper_crash,0.0506,4365,146428,evolved,accepted
BraTS-GLI-02123-101,initial_pre_wrapper_crash,0.0053,507,150956,evolved,accepted
BraTS-GLI-02137-100,initial_pre_wrapper_crash,0.0006,2862,13510,collapse-detected,empty_prediction
BraTS-GLI-02139-103,initial_pre_wrapper_crash,0.0,1109,12736,collapse-detected,empty_prediction
BraTS-GLI-02143-100,initial_pre_wrapper_crash,0.3703,50441,12548,evolved,accepted
BraTS-GLI-02143-101,initial_pre_wrapper_crash,0.7485,96040,67053,evolved,accepted
BraTS-GLI-02151-100,initial_pre_wrapper_crash,0.7433,39885,25592,evolved,accepted
BraTS-GLI-02153-101,initial_pre_wrapper_crash,0.0,519,4435,collapse-detected,empty_prediction
BraTS-GLI-02171-101,initial_pre_wrapper_crash,0.0,164,5963,collapse-detected,empty_prediction
BraTS-GLI-02181-102,initial_pre_wrapper_crash,0.0,1816,18796,collapse-detected,empty_prediction
BraTS-GLI-02184-101,initial_pre_wrapper_crash,0.0,101,17688,collapse-detected,empty_prediction
BraTS-GLI-02185-100,initial_pre_wrapper_crash,0.0905,10020,34450,evolved,accepted
BraTS-GLI-02192-101,initial_pre_wrapper_crash,0.0,4984,8602,collapse-detected,empty_prediction
BraTS-GLI-02194-101,initial_pre_wrapper_crash,0.0,3716,4417,collapse-detected,empty_prediction
BraTS-GLI-02196-100,initial_pre_wrapper_crash,0.0573,46257,17410,collapse-detected,empty_prediction
BraTS-GLI-02198-101,initial_pre_wrapper_crash,0.0,0,167058,evolved,accepted
BraTS-GLI-02205-100,initial_pre_wrapper_crash,0.0,0,13371,collapse-detected,empty_prediction
BraTS-GLI-02206-104,initial_pre_wrapper_crash,0.0,0,193773,evolved,accepted
BraTS-GLI-02208-100,initial_pre_wrapper_crash,0.0,0,19993,ROI-fallback,final_equals_init_no_collapse
BraTS-GLI-02216-100,initial_pre_wrapper_crash,0.0198,4202,9671,collapse-detected,empty_prediction
BraTS-GLI-02217-100,resume1_post_wrapper_crash,0.0,2,6441,collapse-detected,empty_prediction
BraTS-GLI-02220-102,resume1_post_wrapper_crash,0.0,0,151459,evolved,accepted
BraTS-GLI-02221-100,resume1_post_wrapper_crash,0.0,6451,16533,collapse-detected,empty_prediction
