min_volume_frac,case_id,dice,baseline_dice,dice_delta,voxels,baseline_voxels,branch,reason,baseline_branch,baseline_reason,is_evolved_baseline,evidence_lcc_fraction,evidence_enhancement_ratio,evidence_volume_multiple,evidence_accept
0.2,BraTS-GLI-00020-100,0.1535,0.1535,0.0,60171,60171,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-00469-100,0.5305,0.5305,0.0,13107,13107,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-00506-100,0.35588434783980316,0.3559,-1.565216019683291e-05,42941,42941,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,0.0,0.0,0.0,False
0.2,BraTS-GLI-00528-100,0.3611,0.3611,0.0,229395,229395,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-00533-100,0.0,0.0,0.0,15501,15501,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,0.0,0.0,0.0,False
0.2,BraTS-GLI-02066-100,0.7633,0.7633,0.0,17906,17906,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02071-100,0.547,0.547,0.0,14978,14978,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02078-100,0.0,0.0,0.0,13220,13220,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,0.0,0.0,0.0,False
0.2,BraTS-GLI-02086-100,0.4643,0.4643,0.0,8555,8555,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02102-100,0.4821,0.4821,0.0,35731,35731,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02108-100,0.8794,0.8794,0.0,87696,87696,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02116-100,0.7473,0.7473,0.0,46954,46954,evolved,accepted_evidence_seed_divergence,evolved,accepted_evidence_seed_divergence,True,,,,
0.2,BraTS-GLI-02118-100,0.8308,0.8308,0.0,33768,33768,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02139-100,0.7808076923076923,0.7808,7.692307692264144e-06,22054,22054,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,0.0,0.0,0.0,False
0.2,BraTS-GLI-02143-100,0.3703,0.3703,0.0,12548,12548,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02151-100,0.7433,0.7433,0.0,25592,25592,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02156-100,0.2994,0.2994,0.0,195929,195929,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02157-100,0.6974,0.6974,0.0,21213,21213,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02158-100,0.8077,0.8077,0.0,43072,43072,evolved,accepted,evolved,accepted,True,,,,
0.2,BraTS-GLI-02169-100,0.6581612191698416,0.6196,0.038561219169841565,15529,49134,evolved,accepted,collapse-detected,collapsed_small,False,0.0,0.0,0.0,False
0.25,BraTS-GLI-00020-100,0.1535,0.1535,0.0,60171,60171,evolved,accepted,evolved,accepted,True,,,,
0.25,BraTS-GLI-00469-100,0.5305,0.5305,0.0,13107,13107,evolved,accepted,evolved,accepted,True,,,,
0.25,BraTS-GLI-00506-100,0.35588434783980316,0.3559,-1.565216019683291e-05,42941,42941,collapse-detected,empty_prediction,collapse-detected,empty_prediction,False,0.0,0.0,0.0,False
