case_id,metodo,dice_ET,jaccard_ET,vol_GT,vol_pred,guard_branch,guard_reason,tiempo_s,case_wall_s,shared_preproc_s,process,fold,stratum,vol_bin,focality,confound_bin,et_present,et_mm3,et_num_components,rc_present,et_to_rc_min_mm,enh_confound_risk
BraTS-GLI-00009-101,otsu_T1c,0.5336,0.3639,11334,14599,,,0.2959,27.8548,2.6368,1,4.0,large|multifocal|far_rc,large,multifocal,far_rc,1,11334.0,2,1,1.0,1.0
BraTS-GLI-00009-101,gmm_T1c,0.5518,0.381,11334,21499,,,1.893,27.8548,2.6368,1,4.0,large|multifocal|far_rc,large,multifocal,far_rc,1,11334.0,2,1,1.0,1.0
BraTS-GLI-00009-101,sustraccion,0.1727,0.0945,11334,18353,,,0.2824,27.8548,2.6368,1,4.0,large|multifocal|far_rc,large,multifocal,far_rc,1,11334.0,2,1,1.0,1.0
BraTS-GLI-00009-101,gmm_2d,0.1965,0.109,11334,35515,,,5.7958,27.8548,2.6368,1,4.0,large|multifocal|far_rc,large,multifocal,far_rc,1,11334.0,2,1,1.0,1.0
BraTS-GLI-00009-101,variational_spline,0.5525,0.3817,11334,21555,collapse-detected,collapsed_small,16.9508,27.8548,2.6368,1,4.0,large|multifocal|far_rc,large,multifocal,far_rc,1,11334.0,2,1,1.0,1.0
BraTS-GLI-00046-100,otsu_T1c,0.0,0.0,6187,10577,,,0.3058,32.8785,2.7506,1,1.0,medium|multifocal|far_rc,medium,multifocal,far_rc,1,6187.0,2,1,1.0,1.0
BraTS-GLI-00046-100,gmm_T1c,0.0,0.0,6187,11199,,,1.559,32.8785,2.7506,1,1.0,medium|multifocal|far_rc,medium,multifocal,far_rc,1,6187.0,2,1,1.0,1.0
BraTS-GLI-00046-100,sustraccion,0.0699,0.0362,6187,61781,,,0.2625,32.8785,2.7506,1,1.0,medium|multifocal|far_rc,medium,multifocal,far_rc,1,6187.0,2,1,1.0,1.0
BraTS-GLI-00046-100,gmm_2d,0.014,0.0071,6187,458498,,,4.9584,32.8785,2.7506,1,1.0,medium|multifocal|far_rc,medium,multifocal,far_rc,1,6187.0,2,1,1.0,1.0
BraTS-GLI-00046-100,variational_spline,0.0,0.0,6187,11199,collapse-detected,empty_prediction,23.0422,32.8785,2.7506,1,1.0,medium|multifocal|far_rc,medium,multifocal,far_rc,1,6187.0,2,1,1.0,1.0
BraTS-GLI-00543-101,otsu_T1c,0.0,0.0,0,13935,,,0.3027,60.036,2.6894,1,2.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00543-101,gmm_T1c,0.0,0.0,0,16769,,,1.9395,60.036,2.6894,1,2.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00543-101,sustraccion,0.0,0.0,0,35620,,,0.2493,60.036,2.6894,1,2.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00543-101,gmm_2d,0.0,0.0,0,43524,,,13.6043,60.036,2.6894,1,2.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00543-101,variational_spline,0.0,0.0,0,16775,collapse-detected,empty_prediction,41.2507,60.036,2.6894,1,2.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00548-100,otsu_T1c,0.0,0.0,0,13841,,,0.2877,30.6516,17.5092,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00548-100,gmm_T1c,0.0,0.0,0,1109623,,,6.4645,30.6516,17.5092,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00548-100,sustraccion,0.0,0.0,0,102144,,,0.2546,30.6516,17.5092,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00548-100,gmm_2d,0.0,0.0,0,90129,,,5.6946,30.6516,17.5092,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00548-100,variational_spline,0.0,0.0,0,209037,evolved,accepted,0.4409,30.6516,17.5092,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00549-100,otsu_T1c,0.0,0.0,0,13510,,,0.2915,51.2806,3.2116,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00549-100,gmm_T1c,0.0,0.0,0,20792,,,2.5382,51.2806,3.2116,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00549-100,sustraccion,0.0,0.0,0,95234,,,0.266,51.2806,3.2116,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00549-100,gmm_2d,0.0,0.0,0,80673,,,5.9378,51.2806,3.2116,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-00549-100,variational_spline,0.0,0.0,0,20792,collapse-detected,empty_prediction,39.0356,51.2806,3.2116,1,1.0,absent|unifocal|no_rc,absent,unifocal,no_rc,0,0.0,0,1,,
BraTS-GLI-02061-100,otsu_T1c,0.0,0.0,427,4347,,,0.2725,22.0786,2.3307,1,1.0,small|unifocal|far_rc,small,unifocal,far_rc,1,427.0,1,1,1.0,0.9936
BraTS-GLI-02061-100,gmm_T1c,0.0,0.0,427,4541,,,1.6077,22.0786,2.3307,1,1.0,small|unifocal|far_rc,small,unifocal,far_rc,1,427.0,1,1,1.0,0.9936
BraTS-GLI-02061-100,sustraccion,0.0081,0.004,427,76029,,,0.2547,22.0786,2.3307,1,1.0,small|unifocal|far_rc,small,unifocal,far_rc,1,427.0,1,1,1.0,0.9936
BraTS-GLI-02061-100,gmm_2d,0.0057,0.0029,427,99641,,,5.2205,22.0786,2.3307,1,1.0,small|unifocal|far_rc,small,unifocal,far_rc,1,427.0,1,1,1.0,0.9936
BraTS-GLI-02061-100,variational_spline,0.0,0.0,427,4541,collapse-detected,empty_prediction,12.3924,22.0786,2.3307,1,1.0,small|unifocal|far_rc,small,unifocal,far_rc,1,427.0,1,1,1.0,0.9936
BraTS-GLI-02086-100,otsu_T1c,0.4452,0.2863,26344,7548,,,0.259,14.6179,2.5944,1,0.0,large|multifocal|no_rc,large,multifocal,no_rc,1,26344.0,2,0,,1.0
BraTS-GLI-02086-100,gmm_T1c,0.4862,0.3212,26344,8476,,,1.8246,14.6179,2.5944,1,0.0,large|multifocal|no_rc,large,multifocal,no_rc,1,26344.0,2,0,,1.0
BraTS-GLI-02086-100,sustraccion,0.4393,0.2815,26344,76778,,,0.2478,14.6179,2.5944,1,0.0,large|multifocal|no_rc,large,multifocal,no_rc,1,26344.0,2,0,,1.0
BraTS-GLI-02086-100,gmm_2d,0.3313,0.1985,26344,120926,,,6.1009,14.6179,2.5944,1,0.0,large|multifocal|no_rc,large,multifocal,no_rc,1,26344.0,2,0,,1.0
BraTS-GLI-02086-100,variational_spline,0.4643,0.3023,26344,8555,evolved,accepted,3.5913,14.6179,2.5944,1,0.0,large|multifocal|no_rc,large,multifocal,no_rc,1,26344.0,2,0,,1.0
BraTS-GLI-02093-106,otsu_T1c,0.0003,0.0001,1054,833819,,,0.3238,51.3947,26.8288,1,1.0,small|multifocal|far_rc,small,multifocal,far_rc,1,1054.0,5,1,1.0,1.0
