case_id,method,pred_path,pred_exists,gt_path,gt_exists
BraTS-GLI-00020-100,bspline,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_bspline.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,fast_marching,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,gmm_2d,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,gmm_T1c,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,level_set,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_level_set.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,otsu_T1c,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,rango_doble,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,spline,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_spline.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,sustraccion,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00020-100,variational_spline,output\segmentacion\BraTS-GLI-00020-100\BraTS-GLI-00020-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-00020-100\BraTS-GLI-00020-100-seg.nii.gz,True
BraTS-GLI-00469-100,bspline,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_bspline.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,fast_marching,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,gmm_2d,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,gmm_T1c,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,level_set,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_level_set.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,otsu_T1c,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,rango_doble,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,spline,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_spline.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,sustraccion,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00469-100,variational_spline,output\segmentacion\BraTS-GLI-00469-100\BraTS-GLI-00469-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-00469-100\BraTS-GLI-00469-100-seg.nii.gz,True
BraTS-GLI-00506-100,bspline,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_bspline.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,fast_marching,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,gmm_2d,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,gmm_T1c,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,level_set,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_level_set.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,otsu_T1c,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,rango_doble,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_rango_doble.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,spline,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_spline.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,sustraccion,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_sustraccion.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00506-100,variational_spline,output\segmentacion\BraTS-GLI-00506-100\BraTS-GLI-00506-100-et_variational_spline.nii.gz,True,images\BraTS-GLI-00506-100\BraTS-GLI-00506-100-seg.nii.gz,True
BraTS-GLI-00528-100,bspline,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_bspline.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,fast_marching,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_fast_marching.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,gmm_2d,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_gmm_2d.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,gmm_T1c,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_gmm_T1c.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,level_set,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_level_set.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
BraTS-GLI-00528-100,otsu_T1c,output\segmentacion\BraTS-GLI-00528-100\BraTS-GLI-00528-100-et_otsu_T1c.nii.gz,True,images\BraTS-GLI-00528-100\BraTS-GLI-00528-100-seg.nii.gz,True
