case_id,metodo,vol_bin,focality,global_dice,lesionwise_dice_mean_prefix,gt_components_prefix,pred_components_prefix,lesionwise_dice_mean_corrected,gt_components_corrected,pred_components_corrected,lesion_tp,lesion_fn,lesion_fp,lesionwise_delta
BraTS-GLI-00009-101,otsu_T1c,large,multifocal,0.5336058304091312,0.0762875452637672,7,1,0.2670063972473144,2,1,1.0,1.0,0.0,0.1907188519835472
BraTS-GLI-00009-101,gmm_T1c,large,multifocal,0.5517619468217951,0.0788540765643119,7,1,0.2759892642498016,2,1,1.0,1.0,0.0,0.19713518768548968
BraTS-GLI-00009-101,sustraccion,large,multifocal,0.1726681712534105,0.0475545898079872,7,102,0.0049380832351744,2,65,1.0,1.0,64.0,-0.042616506572812796
BraTS-GLI-00009-101,gmm_2d,large,multifocal,0.1965463510427117,0.0773153379559516,7,55,0.009548770263791,2,55,1.0,1.0,54.0,-0.06776656769216059
BraTS-GLI-00009-101,variational_spline,large,multifocal,0.5525251603879716,0.0789631605148315,7,1,0.2763710618019104,2,1,1.0,1.0,0.0,0.1974079012870789
BraTS-GLI-00046-100,sustraccion,medium,multifocal,0.0699446798493408,0.5328309535980225,2,341,0.0044402577914297,2,240,2.0,0.0,238.0,-0.5283906958065928
BraTS-GLI-00046-100,gmm_2d,medium,multifocal,0.014005186309005,0.006955275312066,2,35,0.0003864041937049,2,35,1.0,1.0,34.0,-0.0065688711183611
BraTS-GLI-02061-100,sustraccion,small,unifocal,0.0080569216281259,0.0501138940453529,1,370,0.0002375066105742,1,211,1.0,0.0,210.0,-0.0498763874347787
BraTS-GLI-02061-100,gmm_2d,small,unifocal,0.0056961266338889,0.0714285746216774,1,165,0.0004329004441387,1,165,1.0,0.0,164.0,-0.0709956741775387
BraTS-GLI-02086-100,sustraccion,large,multifocal,0.4393242954946568,0.4535776674747467,2,235,0.0064796810038387,2,140,2.0,0.0,138.0,-0.447097986470908
BraTS-GLI-02086-100,gmm_2d,large,multifocal,0.331269097575881,0.2997108101844787,2,108,0.0055502001196146,2,108,2.0,0.0,106.0,-0.2941606100648641
BraTS-GLI-02093-106,sustraccion,small,multifocal,0.0224379669772161,0.0357418358325958,5,466,0.000661885831505,5,266,1.0,4.0,265.0,-0.0350799500010908
BraTS-GLI-02093-106,gmm_2d,small,multifocal,0.0170729012885019,0.0742216482758522,5,166,0.002208977472037,5,166,3.0,2.0,163.0,-0.07201267080381521
